item_nbr,store_nbr,mae,mean_sales,mae_pct,safety_stock,reorder_point,eoq
1114567,1,5.99,7.72,77.6,40,94,375
1114914,1,1.02,2.26,45.0,5,21,203
1116113,1,2.04,2.08,98.2,6,21,195
1117661,1,2.66,3.48,76.3,24,49,252
1118775,1,3.03,3.52,86.2,12,36,253
1121513,1,0.91,1.67,54.4,4,16,174
1121515,1,0.98,2.02,48.4,5,19,192
1121615,1,1.98,3.75,52.8,10,36,262
1121616,1,3.12,6.15,50.7,13,57,335
1134971,1,1.96,2.68,73.0,9,28,221
1137146,1,3.58,7.56,47.3,23,76,371
1143685,1,3.53,4.49,78.7,18,49,286
1143691,1,1.25,1.97,63.6,5,19,190
1145597,1,1.38,2.44,56.3,9,26,211
1146496,1,9.49,31.45,30.2,78,298,758
1146785,1,12.3,12.18,101.0,199,284,472
1146786,1,5.09,8.34,61.1,30,88,390
1146795,1,4.2,10.53,39.9,21,95,438
1146796,1,2.25,2.67,84.2,8,27,221
1146797,1,1.57,2.93,53.7,9,30,231
1146800,1,2.48,5.12,48.4,23,59,306
1146801,1,3.04,5.97,50.9,18,60,330
1146802,1,2.4,2.87,83.6,9,29,229
1146803,1,1.3,2.36,54.9,6,23,208
1147495,1,3.1,4.79,64.7,15,48,296
1148812,1,5.89,8.96,65.7,38,100,404
1149069,1,2.48,4.8,51.6,17,50,296
1149225,1,1.51,1.43,106.0,3,13,161
1149579,1,1.15,2.39,48.0,6,22,209
1150954,1,1.96,2.61,75.1,8,26,218
1153584,1,5.55,15.55,35.7,45,153,533
1157329,1,2.53,4.45,56.8,12,43,285
1157462,1,3.18,7.16,44.5,18,69,361
1157561,1,2.9,9.22,31.5,18,83,410
1157564,1,4.39,9.14,48.1,30,94,408
1158719,1,2.4,2.65,90.6,10,29,220
1158720,1,2.85,3.54,80.6,8,33,254
1159413,1,1.43,3.06,46.8,9,30,236
1159414,1,1.64,3.65,44.9,8,34,258
1159415,1,0.94,1.33,70.6,3,12,156
1159597,1,3.97,3.58,110.7,21,46,256
1159726,1,2.53,5.26,48.0,13,50,310
1159728,1,2.44,5.62,43.5,13,52,320
1160872,1,3.78,5.65,66.8,15,54,321
1160873,1,2.6,5.52,47.1,14,52,317
1161571,1,3.58,9.68,37.0,23,90,420
1161572,1,1.75,1.85,94.8,4,17,184
1162382,1,4.53,14.4,31.5,29,130,513
1164290,1,1.87,3.93,47.7,9,37,268
1165987,1,1.82,3.42,53.2,11,35,250
1165988,1,4.14,3.7,111.8,13,39,260
1165989,1,4.05,3.32,122.1,11,34,246
1166474,1,7.36,7.93,92.9,32,87,380
1166475,1,5.85,10.84,54.0,24,100,445
1167544,1,4.38,3.1,141.3,11,32,238
1167545,1,2.73,4.0,68.2,12,40,270
1168717,1,0.89,1.68,52.8,4,16,175
1171140,1,3.04,5.93,51.3,16,58,329
1173853,1,1.85,2.82,65.7,9,29,227
1182733,1,4.4,5.54,79.5,22,61,318
1214325,1,0.96,1.82,52.9,5,17,182
1222571,1,2.02,2.93,69.0,8,28,231
1228319,1,2.16,3.78,57.2,11,38,263
1229025,1,1.86,2.62,70.9,9,28,219
1229028,1,2.15,3.4,63.1,12,35,249
1239739,1,2.83,4.12,68.6,25,54,274
1239783,1,1.78,2.38,75.0,6,22,208
1239785,1,1.69,2.86,59.1,9,29,229
1239789,1,2.66,3.64,73.1,12,38,258
1239790,1,3.83,4.26,89.8,13,43,279
1239791,1,3.21,5.19,61.8,18,55,308
1239796,1,3.2,4.79,66.9,15,49,296
1239806,1,2.85,7.7,37.0,18,72,375
1239807,1,2.16,3.93,54.9,13,40,268
1239808,1,3.22,3.4,95.0,10,33,249
1239809,1,2.67,4.51,59.2,15,47,287
1239810,1,3.02,5.3,57.0,17,54,311
1239815,1,1.21,2.22,54.6,6,21,201
1239817,1,1.31,2.18,60.0,6,21,200
1239818,1,1.22,2.39,51.2,7,23,209
1239819,1,1.39,3.14,44.2,8,30,239
1239820,1,2.14,3.67,58.3,11,36,259
1239846,1,1.49,2.77,53.6,7,27,225
1239852,1,4.32,7.75,55.8,27,81,376
1239854,1,3.32,4.04,82.2,11,39,272
1239856,1,3.47,6.03,57.6,18,60,332
1239857,1,2.05,3.75,54.7,10,36,262
1239858,1,3.76,7.84,48.0,21,76,378
1239859,1,8.91,15.15,58.8,61,167,526
1239860,1,3.62,7.73,46.8,20,74,376
1239861,1,2.7,6.91,39.0,15,64,355
1239867,1,2.82,6.63,42.5,15,61,348
1239868,1,3.57,6.46,55.2,18,63,343
1239875,1,7.2,7.62,94.5,28,81,373
1239877,1,5.93,15.3,38.8,39,146,528
1239890,1,3.84,9.32,41.2,23,88,412
1239897,1,7.15,24.96,28.7,42,217,675
1239899,1,3.91,7.38,53.0,20,72,367
1239901,1,3.59,8.63,41.7,20,80,397
1239902,1,3.21,8.59,37.4,20,80,396
1239905,1,1.3,3.0,43.4,9,30,234
1239906,1,1.79,3.28,54.5,11,34,245
1239908,1,1.84,4.11,44.8,10,38,274
1239911,1,1.84,3.8,48.4,10,37,263
1239912,1,3.22,7.0,46.0,18,67,357
1239913,1,1.22,2.13,57.3,6,21,197
1239914,1,2.12,3.34,63.5,10,34,247
1239918,1,2.35,3.09,76.2,13,35,237
1239954,1,1.17,1.74,67.2,5,17,178
1239955,1,1.55,2.4,64.4,8,25,209
1239956,1,1.37,2.26,60.7,8,24,203
1246758,1,5.09,8.14,62.5,46,103,385
1246784,1,3.06,4.31,71.0,16,46,280
1246785,1,1.48,2.65,55.6,9,27,220
1254013,1,2.91,4.44,65.5,13,44,285
1305845,1,3.38,6.65,50.8,17,64,348
1306197,1,0.93,2.04,45.6,5,19,193
1306198,1,2.75,5.21,52.8,19,55,308
1309246,1,5.42,12.67,42.8,26,115,481
1309297,1,22.19,21.11,105.1,85,233,621
1313222,1,2.34,4.71,49.5,13,46,293
1313223,1,3.76,5.95,63.2,15,57,330
1314409,1,2.58,3.92,65.9,18,45,267
1322479,1,5.05,12.53,40.3,25,113,478
1328495,1,5.29,3.95,134.0,32,60,268
1328907,1,2.62,4.95,53.0,14,49,300
1333307,1,8.69,25.02,34.7,49,224,676
1333994,1,2.55,4.87,52.4,14,48,298
1342003,1,3.24,5.12,63.3,17,53,306
1342006,1,1.48,2.17,68.1,5,21,199
1342008,1,2.29,2.78,82.5,7,26,225
1342009,1,1.4,2.61,53.6,7,26,218
1346627,1,1.3,2.36,55.1,6,23,208
1346628,1,1.02,1.83,55.9,4,17,183
1346636,1,2.16,2.87,75.3,11,31,229
1346637,1,2.48,3.61,68.8,14,39,257
1346638,1,2.66,3.96,67.1,11,39,269
1353189,1,2.9,4.12,70.5,14,43,274
1354380,1,1.86,3.48,53.5,13,38,252
1354383,1,0.71,1.7,41.6,4,16,176
1354711,1,3.1,6.42,48.3,16,61,342
1354712,1,4.54,7.83,58.0,28,82,378
1371618,1,1.52,3.29,46.2,8,32,245
